pop1,pop2,k1,k2
0,722,-1.00,7.92
780,0,8.65,-1.00
1149,0,6.81,-1.00
1230,0,6.46,-1.00
223,0,14.79,-1.00
1051,0,12.42,-1.00
0,798,-1.00,7.90
964,0,6.84,-1.00
904,0,6.86,-1.00
679,0,8.94,-1.00
0,728,-1.00,8.21
716,0,7.52,-1.00
0,155,-1.00,15.60
811,0,6.61,-1.00
1341,0,6.24,-1.00
0,864,-1.00,8.43
1123,0,8.93,-1.00
786,0,6.02,-1.00
0,0,-1.00,-1.00
1218,0,5.40,-1.00
702,0,8.38,-1.00
944,0,5.10,-1.00
0,746,-1.00,6.58
728,0,9.55,-1.00
670,0,10.05,-1.00
1111,0,7.67,-1.00
1313,0,5.77,-1.00
0,777,-1.00,10.51
655,0,8.92,-1.00
632,0,10.23,-1.00
0,795,-1.00,6.32
991,0,9.31,-1.00
757,0,6.71,-1.00
1078,0,8.49,-1.00
833,0,7.34,-1.00
0,706,-1.00,7.23
804,0,5.78,-1.00
1130,0,10.68,-1.00
1069,0,11.06,-1.00
958,0,4.89,-1.00
606,0,11.19,-1.00
622,0,10.54,-1.00
891,0,6.96,-1.00
0,762,-1.00,8.71
764,0,9.03,-1.00
774,0,6.51,-1.00
868,0,6.20,-1.00
0,901,-1.00,7.76
0,676,-1.00,11.03
929,0,7.78,-1.00
645,0,8.67,-1.00
992,0,6.32,-1.00
995,0,7.11,-1.00
1351,0,8.26,-1.00
0,610,-1.00,10.09
0,783,-1.00,6.23
0,702,-1.00,7.88
977,0,7.09,-1.00
1076,0,5.11,-1.00
791,0,8.76,-1.00
951,0,6.48,-1.00
0,0,-1.00,-1.00
0,914,-1.00,7.58
1054,0,9.36,-1.00
742,0,11.85,-1.00
1124,0,8.66,-1.00
74,0,16.65,-1.00
0,1285,-1.00,7.96
991,0,10.59,-1.00
831,0,8.45,-1.00
0,767,-1.00,6.90
766,0,6.51,-1.00
901,0,6.00,-1.00
653,0,9.16,-1.00
0,825,-1.00,10.17
0,0,-1.00,-1.00
0,944,-1.00,6.63
1407,0,6.07,-1.00
0,571,-1.00,11.50
0,652,-1.00,10.00
0,586,-1.00,10.66
738,0,7.10,-1.00
1136,0,6.84,-1.00
0,754,-1.00,9.64
816,0,5.17,-1.00
0,833,-1.00,7.51
934,0,8.58,-1.00
0,557,-1.00,10.32
648,0,13.74,-1.00
